address,balance,label,total_tx,mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0x434a8637c93868106ee2b633cf524e02bf63a037,27.76,jp_kr_cn,899,134.64954166663685,31,57,37,38,59,38,41,87,68,92,72,79,76,34,16,13,7,11,9,12,5,8,2,7
0x4b359329c5ce4cabff9483eddf2f0c270aa05f54,155.58286219379215,southern_asia,49,876.4469543968619,1,3,6,11,6,1,1,2,1,1,2,4,1,2,0,1,0,0,3,2,0,0,0,1
0x2f0833a56c28aa1abad50c3a2345ac89b70ebf47,2.08,southeast_asia,22,197.53820033565972,0,0,3,2,2,3,4,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0x56abbbf288e04a3321d53a014db2c5741e76cf27,7.75041456567045,southeast_asia,31,6.787891554881146,2,2,2,2,3,0,2,3,2,1,0,1,0,0,2,1,2,0,4,0,1,1,0,0
0xdd5e4835cab0cb59e9360f3461587abb87e555df,49.122318776961166,europe,23,54.838762150104834,1,1,1,0,0,0,0,3,0,1,2,2,1,0,0,0,0,2,2,1,2,2,2,0
0xcf0c23660bce7af0cc2c10e990cde6400bc92341,65.22689615574578,europe,83,226.5756277117097,1,1,8,8,3,2,4,3,5,10,2,12,2,1,0,1,0,3,6,3,3,0,1,4
0xc3cc58b61c83db45ae3614ffefa07d93b4017f45,39.101360468282735,western_asia,217,13.147029743955818,2,2,4,0,0,1,0,3,14,8,7,12,9,10,16,14,5,6,20,27,30,18,8,1
0xe3a8c3d06e6f37ee64f64cc67eafc825492a3212,79.0290992114743,southeast_asia,43,4.366046511627907,1,0,1,1,2,0,0,3,2,7,9,0,2,3,0,1,0,6,4,0,1,0,0,0
0x80bffcfccc58e0899d920070ffa65665cc12ca1f,245.07571790230347,europe,131,14.603622520997709,4,0,0,4,0,0,3,4,2,15,7,5,7,1,7,8,7,6,3,12,13,9,9,5
0xba95b4a5b130c4c1d27dc9e8adcf7f087cdb4c52,45.31398839371606,europe,502,48.448945119334866,6,4,0,0,10,2,1,2,9,28,51,43,35,36,53,28,32,12,12,19,23,31,31,34
0xe81e1c0c867133652abd376885bcd7e5e42495a3,0.47,africa,47,34.38151422829785,2,5,4,3,6,2,1,4,1,1,2,1,0,2,1,0,0,1,5,0,1,1,2,2
0x8f99cd933caa437d17a13313bc2a382276e5fd5d,569.4768052392271,western_asia,159,301.5845442129645,3,2,2,6,18,12,6,7,4,9,3,12,10,7,3,3,6,2,5,9,12,1,7,10
0x622e4a9d26a73120bcce965cc269ae3bab5e0400,32.76380468952688,southeast_asia,31,10.122777436818978,0,2,0,1,0,0,0,2,0,3,6,1,1,2,3,1,2,0,1,2,1,3,0,0
0xf633cc4257ad2dead62f4219308121016f4496a1,64.99186656116183,southern_asia,24,15.181190356612438,0,0,0,0,0,5,8,2,1,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0
0x17c3ea68189e9c2d0031adcd3c6a95528030a656,96.41159247083142,jp_kr_cn,77,115.51256691018109,2,6,5,5,5,1,12,8,5,16,0,0,0,0,2,1,0,0,1,0,0,1,3,4
0x942d81a31cb966c457b19f99030850013bf216ca,7355.464316183851,europe,47,1276.5052513364608,6,0,0,0,0,0,0,0,0,1,1,1,7,3,6,7,1,0,0,0,0,2,4,8
0xf7d89c99f0496e2fc3122ebf1ba0116889db74db,4.959240877552521,southeast_asia,27,159.03060820186596,0,4,7,0,0,1,1,4,2,1,4,0,0,0,2,0,0,0,0,0,1,0,0,0
0x8b1510d9aaf015f23acf13e328ffb5ab065c5bd9,240.19407816121986,europe,1199,703.0893763214598,5,3,7,10,17,27,41,83,81,111,115,114,94,89,60,51,59,50,41,31,31,28,35,16
0x2d99ad34038746b528810cd39461baf144795c66,1.7480619416297678,jp_kr_cn,31,10.329516155181757,0,2,0,0,1,0,3,2,3,0,6,0,2,4,1,5,0,1,0,1,0,0,0,0
0x848e61a775f4e646d476b3f06f69a2fd5b88462d,118.31072290463541,southeast_asia,62,18.98029998566547,1,2,11,0,6,1,4,4,1,5,6,2,2,1,3,1,0,0,0,0,0,0,11,1
0x06c1ef26f69da5fb9e21012d1816ddf8a74c9c62,7.738922462247481,southeast_asia,29,9.150613698315173,0,1,0,0,3,6,3,2,0,1,0,3,1,1,1,0,0,0,0,0,0,1,4,2
0xddda78690198398ea24c32faba940ed9582d3681,380.60100084566903,western_asia,206,294.3488127731626,23,8,14,2,0,0,1,2,2,5,2,11,2,3,0,3,4,11,9,5,10,28,29,32
0x0d7008d674dcdecc2eed9793c9f6183514e82e9e,92.39729743900983,europe,99,39.76876563088821,0,0,0,1,0,0,7,14,9,10,9,7,9,3,5,6,1,7,5,4,1,1,0,0
0x52fe68b6a84d38ca19459950c0fee9dfa61e13af,90.80559150666893,south_america,37,27.866057404383287,1,1,3,6,0,0,0,1,0,0,1,2,2,0,0,1,4,3,2,2,4,0,1,3
0x2d5b078d57cfcffc96bde47e047ef032fe426b8a,10.463053723566965,africa,34,58.14211581213055,0,0,0,0,0,0,1,5,8,1,6,8,1,0,0,1,0,0,2,0,1,0,0,0
0x6e25b6acc345842f637c320ec4e3e5066f699777,93.70605130278528,jp_kr_cn,24,259.6188746499161,0,4,0,3,0,1,0,1,5,2,0,6,0,0,0,0,0,0,1,1,0,0,0,0
0x06feb3cb08f5a7119c8bf01c7da8d857507d6862,47.83855426270927,southeast_asia,108,112.04254689759897,0,6,10,3,15,5,4,5,15,8,8,2,1,2,4,0,4,8,4,4,0,0,0,0
0x7d25ad4066d3b86a49c0e35198f713b78bc69489,7.064439010114427,europe,51,77.59994655449529,0,0,0,0,0,2,1,4,4,4,1,1,0,6,6,7,2,6,1,1,3,2,0,0
0xd96ceb1036828e29d00fde0b239cf6c72c1afffc,12.298370689935771,southern_asia,32,9.037996285604198,0,1,0,0,0,0,4,3,4,1,6,3,4,1,0,2,0,2,0,0,1,0,0,0
0xaaa24004dd723dc8be2cfc2c6045e9ec478baf1e,58.96489041897293,southern_asia,35,21.4228017043724,0,0,0,1,0,4,0,0,6,8,3,3,4,0,1,2,2,0,1,0,0,0,0,0
0xe3890c01f3a453e605f720c33dbee8e0023e6198,214.28663625245352,europe,78,16.59657532780552,0,0,1,1,5,8,19,7,5,5,3,1,5,2,8,1,1,4,2,0,0,0,0,0
0xb90ccd90995ab60a9478b75ec48323ed0b3d8f7e,7.092649365366243,western_asia,37,21.494323766487213,2,4,2,7,8,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,3,2,3
0x2d759a21729e5f7bdaee3c207878315c3554d425,7.75112078958954,jp_kr_cn,50,28.427603641087135,2,1,1,3,0,0,0,0,3,0,0,2,9,5,3,8,5,4,0,0,1,0,0,3
0x474fe82a57baed3ba17745ca520be290dd010719,52.676571522321154,western_asia,54,60.1891542947697,0,3,6,6,2,4,2,5,3,5,5,4,7,0,0,0,2,0,0,0,0,0,0,0
0x55728d31f8a9d116e80520fb4eef8b6dc01e4b00,15.14242477256865,southeast_asia,32,86.94448010582052,0,2,0,1,2,1,2,2,0,2,0,0,4,5,2,1,1,3,4,0,0,0,0,0
0x054c94498074add33c7447b27c18d55f7daa39f9,26.667321105772086,jp_kr_cn,58,45.15987762785395,3,2,0,5,3,8,0,1,5,4,8,3,2,4,1,0,2,0,1,1,0,1,1,3
0xcc475c6d51b5fe5cad3256c84af0ede800ff0767,597.0601760156434,southeast_asia,183,12.858314422369801,6,12,8,14,16,11,10,5,13,7,14,4,14,9,5,9,4,8,1,1,2,0,4,6
0xa5001937395ec8d67b07d73970207b69c354b9b0,5.687507576067928,europe,43,12.80946367911883,2,0,0,0,2,2,3,0,2,1,6,2,4,2,0,1,0,2,0,2,0,3,1,8
0xaa2ca214d4f9eebf29567260db235dc328e44769,27.424823767782755,southeast_asia,30,4.725191068811778,0,0,1,0,1,8,3,2,0,2,1,4,2,0,1,1,0,0,1,0,1,1,0,1
0x1f2226d2ee8124d688141567d855b5cad63821f3,1.32996586646267,southeast_asia,22,22.972016187287135,2,0,3,1,3,4,3,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
0x6ee9209ef6e3624fc7f5829be6eb1b729d6f80ee,56.98459280608254,western_asia,39,66.19189427128993,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,3,1,2,4,7,6,7,2
0x648f09326ae1012be76449422e888427e24a3872,57.84439356296133,southern_asia,474,95.1446134552482,5,0,0,3,4,11,12,20,34,33,67,24,29,14,26,31,22,18,18,21,28,22,23,9
0x5bdbae7d8e714b234b8dd3a19b9b97e016d854f0,12.195058740145974,oceania,109,156.85219940485692,6,5,2,4,6,8,9,10,6,2,8,2,5,11,7,4,0,0,2,1,1,8,1,1
0xbbdda3c8e7fc9074f1f11c494d3bdb36535cb19a,22.04028623656972,southern_asia,36,2.7797952606780267,1,0,0,0,2,8,2,0,2,4,2,3,0,2,0,0,0,1,1,0,3,1,1,3
0xb2f14c22e140a2c8014e13e6a527403136231b56,54.511928673501885,western_asia,362,163.8312963459412,20,5,7,2,2,0,19,2,11,16,10,16,11,11,22,19,27,22,20,26,18,24,27,25
0xdbd4b7bb745acf5d47cc3f01987617c1dd1b1fe0,42.657764353624415,jp_kr_cn,35,22.561224000688775,1,1,0,1,6,4,3,1,1,10,1,1,3,0,0,0,0,0,2,0,0,0,0,0
0xecf523caafbb61fc85ada7a8061ba5c970a44e7e,155.57830366085565,southeast_asia,130,38.510606289927246,11,4,12,6,12,14,3,4,7,2,4,5,26,5,2,1,0,0,0,0,2,0,0,10
0x73f6ed72d3e28e02f21ce744f969c0481a01ea77,7.369437145218008,southeast_asia,48,9.083389024176173,3,4,3,0,6,2,1,0,1,0,1,5,1,2,1,0,3,8,2,3,1,0,0,1
0xb803d04885deee034d937f85d235d22df09928a1,42.3982113731953,europe,150,145.8310253139747,0,0,0,0,0,0,0,2,7,7,12,15,20,8,14,7,8,5,9,4,13,15,2,2
0x56f6a67b607e4314434a972f221cdb76456f5d2d,26.693913515704523,europe,29,7.828232919498355,0,0,0,0,0,3,8,1,5,2,2,1,0,0,1,0,0,1,0,1,1,1,2,0
0xb79840074e023e2fdb558e068ffce119628b1242,825.7742283153033,europe,107,111.3059102931367,1,0,2,4,19,8,8,8,8,8,4,7,5,3,1,1,3,5,0,2,3,3,4,0
0x2b524c8245c74f193382e365adcf69c6e7876957,59.102169206840166,europe,34,31.134752112132922,0,0,0,0,3,3,4,4,3,3,1,2,0,2,0,0,1,0,2,0,2,4,0,0
0xba8421340396eb6d6be19e8b4715ae68e34ec161,369.4803598800902,jp_kr_cn,281,80.16063120979308,21,12,23,24,30,16,17,18,25,18,9,2,8,7,5,13,16,3,1,0,0,2,5,6
0xc4f373b4180c0d2b1590e0f42e6efb87c497799e,128.04935767366203,south_america,79,80.10170120177636,1,8,2,0,0,0,1,0,3,2,17,12,3,2,4,1,0,0,3,3,4,4,3,6
0x7caf7f85811d268d32ebea9408cbc03511eab8a1,29.004335550865584,europe,118,270.3135805653369,0,0,1,0,1,7,10,8,6,4,5,5,16,4,4,6,4,3,12,12,9,1,0,0
0x3ae3621beb878adbcb4db1ce555d691759611b97,484.050565229586,europe,479,145.88466745054228,0,2,2,0,8,14,32,41,36,31,23,41,39,25,27,14,13,21,15,24,27,25,18,1
0xaadb24c70f4e9967ba37f90df2abd025e2a3f770,35.970610023126866,europe,45,80.05696242739145,0,0,0,0,1,3,7,13,4,3,0,4,1,2,0,2,0,1,0,1,1,0,2,0
0x92a030cdb61efa7f84174762a9584cdaf3f4d1da,266.70602392507726,europe,164,22.595833566298612,0,0,0,0,0,5,7,11,11,12,15,12,16,31,7,6,7,12,10,0,1,0,1,0
0x65cbf9a496e5bc9caed929b2007633aca8b2ef2f,545.5619251453027,southeast_asia,901,22.91675735729782,7,13,27,34,51,32,48,80,72,73,49,92,75,70,52,47,30,22,15,2,0,0,0,10
0x8c90e009a6567ea39fe1443ae3ab03c0eb80cc11,27.8406128938696,western_asia,427,293.22970537614106,0,1,0,12,29,27,13,27,36,20,27,16,30,36,38,27,21,29,19,12,2,2,3,0
0x529f786b6cc026ce88ee866a0de859283c216e50,1050.2574150016783,europe,353,172.37259941608878,5,1,1,0,1,1,1,38,58,27,27,31,22,12,8,7,4,3,14,27,20,14,24,7
0x70b6bd8fd04cac4ff5816fb2fa27f15b5209ffb6,1288.2102904674473,europe,125,5196.5566847657365,2,1,0,3,3,8,7,11,3,20,8,5,6,2,3,4,12,4,6,7,1,4,2,3
0x1f37e2776c53608819fc12aa141ea041badd2229,1.902856220546397,jp_kr_cn,94,8.055397922288245,11,16,7,7,9,5,4,6,1,0,1,1,4,2,13,5,0,0,1,0,1,0,0,0
0x7014232bfc6e5aa2586b0b49741829cb57264601,633.8500077301145,europe,55,8.569957901251405,3,1,0,0,0,2,0,1,2,1,10,1,1,0,1,3,1,1,1,5,4,8,5,4
0x890d602206bd94faf921440d36a136a2d3e19de5,154.19035409184272,western_asia,129,63.377873355187376,8,13,7,1,4,7,7,10,8,12,5,12,11,2,5,1,2,5,4,2,0,0,3,0
0x346e5e46a6bb32427c975fb9df463986e902cc2f,14.550012933161247,southeast_asia,40,17.33949928144653,0,3,2,0,1,1,1,2,1,3,4,3,4,3,2,5,2,3,0,0,0,0,0,0
0x494eef23af3c17ab3b48632af34f7f558bafce91,26.29428333161454,europe,111,11.169450912150475,0,0,0,0,1,5,6,7,9,25,11,6,9,7,3,2,5,4,9,1,1,0,0,0
0x0c8c73a772d9a2d05b6fddd6f22a9e1268b75a81,14.960432428192327,jp_kr_cn,45,4.837083193192603,2,3,0,0,3,4,3,3,3,3,7,5,1,0,0,0,2,0,1,0,0,2,2,1
0x28b7a3ef4f46342473ed3a78bb0c1a81affd24f0,194.3938749116824,europe,86,59.124808317540776,1,0,0,0,0,5,11,23,7,12,1,8,1,5,1,2,5,1,3,0,0,0,0,0
0x575ee74adc224691ae8d2b34cea4240820563c57,0.6157388346566974,europe,32,61.19019173826799,0,0,0,0,0,3,0,2,1,8,5,0,1,0,1,3,0,0,0,0,6,0,2,0
0x67954243bd12ff4bf7a1c767be3aa8723617f3ff,19.94882516222168,southeast_asia,46,14.989553150274887,0,1,7,7,4,5,0,3,4,7,0,1,1,0,0,0,5,0,0,0,0,0,0,1
0xd84372781eb98443e4ee9014ae377fa6efa186cb,48.39762170668973,southeast_asia,116,19.30428476126557,0,0,3,12,2,11,6,11,8,9,9,3,8,1,2,2,3,5,2,3,8,2,3,3
0xe58f3977f15c28daaa0463720ade94aca13d8024,8.192259597494896,southeast_asia,144,4.142581895277777,1,15,9,11,9,28,17,22,11,5,1,1,1,3,4,3,3,0,0,0,0,0,0,0
0xb4fb0e83fbf296d2a20a87e08be35e16e2c9d63c,49.31097290166244,europe,55,246.19032685515234,1,4,6,6,0,0,4,2,2,9,1,6,6,2,3,3,0,0,0,0,0,0,0,0
0xc9c089c9339da08b70b0d08d7e195e09c07ee4b8,116.604384866993,europe,40,69.94544362817405,0,1,1,0,2,0,9,4,2,5,2,3,4,0,1,0,2,0,1,2,1,0,0,0
0x109c17c5034ead522c226bc3e531b9cb03e881bd,7.487653048230272,europe,31,79.59350757990191,4,2,5,0,1,0,2,3,1,0,0,2,1,1,2,1,4,1,0,0,0,0,1,0
0x853dbbadcb964ebd2a13805334c411d5248c0777,2.5030866408407815,europe,58,152.53321536046718,0,0,1,8,4,3,9,6,1,1,0,1,0,0,5,4,3,0,6,5,1,0,0,0
0x2b1c44c021894d1d5ea76ca6bc280e95c74ba570,0.4777569113789,southeast_asia,55,32.99346459699925,5,3,4,2,7,2,1,0,0,5,1,2,1,0,0,1,4,4,3,1,1,5,3,0
0x4450db99260ec3140b4690f1c6bdd64d5d9644a9,33.29234078417429,southeast_asia,273,70.44933402321463,18,24,33,27,13,6,12,15,22,10,7,9,7,9,15,13,21,4,0,0,0,3,0,5
0xdf7146012e5c1d8f76c1bbabac61ab61d503ce10,4.240006146309565,southeast_asia,31,15.774759101639875,0,0,0,0,2,2,1,0,2,2,1,1,1,1,2,2,1,5,3,2,2,0,1,0
0x7588e244e8194e27a6fa172eab87e7904cbae0fe,51.04129450525558,southeast_asia,31,5.88039004596277,1,1,1,3,0,4,4,4,0,0,0,2,1,0,0,0,0,0,1,1,0,1,3,4
0xfe0f013d79f892209bef5ff930da636168cc2379,2.63776633552082,southern_asia,79,157.0018769986568,0,0,1,2,5,6,5,11,6,8,8,3,2,5,2,0,1,4,0,2,6,2,0,0
0xbffb30e4ae43b9cd3b56e01a7aa421a17b6a53a0,62.03056263465524,western_asia,34,11.094638601394061,0,5,2,1,0,1,0,1,4,2,1,1,0,4,2,0,0,0,1,3,2,1,0,3
0x002a2b0787ca718fee9f54629d3b461a7ba2f116,19.55201105268184,southern_asia,98,8.778806246302741,0,1,0,0,0,2,5,7,25,16,13,3,2,2,4,7,5,3,0,2,0,0,1,0
0x8e3df1e485532b9b2df0cc3294e8f2427a076f36,10.02601006960341,southern_asia,69,3.6627739127032113,5,1,2,10,6,5,3,0,7,3,4,5,4,4,4,0,0,0,2,0,0,0,3,1
0xe582b2f0e2dd5b4cd9adae496c3f5b3eb702c259,5.220013482414161,jp_kr_cn,32,11.28292916022,4,2,2,1,2,5,3,2,1,2,3,0,1,2,0,0,0,1,0,0,0,0,0,1
0x4256ed0d3eb79f51622dcefc2897c9c8f9d157b5,14.732404764791196,southern_asia,54,22.96522626403455,0,0,0,0,0,0,0,1,3,4,0,9,12,3,3,2,1,0,5,5,3,3,0,0
